Order ID,Order Date,ProductID,Quantity Ordered,customer_id,time_id
177831,4/1/2019 3:09,66,1,17,1
177687,4/1/2019 4:12,46,1,50,2
186754,4/1/2019 5:06,12,1,94,3
185103,4/1/2019 5:18,47,1,80,4
191585,4/1/2019 5:58,38,1,20,5
189813,4/1/2019 6:02,81,1,85,6
186650,4/1/2019 6:11,2,1,55,7
178407,4/1/2019 6:14,17,1,45,8
184067,4/1/2019 6:18,95,1,67,9
192285,4/1/2019 6:23,86,1,23,10
193992,4/1/2019 6:27,75,1,27,11
181561,4/1/2019 6:42,80,1,82,12
182960,4/1/2019 6:47,45,1,4,13
189270,4/1/2019 6:59,4,1,12,14
189001,4/1/2019 7:01,34,1,2,15
186297,4/1/2019 7:01,85,1,48,16
181552,4/1/2019 7:06,66,1,69,17
186576,4/1/2019 7:08,52,1,67,18
191788,4/1/2019 7:17,15,1,37,19
182666,4/1/2019 7:17,19,1,76,20
193621,4/1/2019 7:21,4,1,64,21
189256,4/1/2019 7:27,76,1,75,22
176831,4/1/2019 7:39,53,1,53,23
189152,4/1/2019 7:40,6,1,66,24
181016,4/1/2019 7:42,100,1,71,25
176603,4/1/2019 7:46,27,1,34,26
180520,4/1/2019 7:46,30,1,54,27
193823,4/1/2019 7:49,22,1,82,28
187999,4/1/2019 7:51,88,1,59,29
183822,4/1/2019 7:54,59,1,100,30
178720,4/1/2019 7:55,25,2,36,31
184775,4/1/2019 7:57,78,1,76,32
177219,4/1/2019 7:59,19,1,65,33
177553,4/1/2019 8:00,32,1,78,34
180221,4/1/2019 8:00,80,1,32,35
184548,4/1/2019 8:02,13,1,54,36
179069,4/1/2019 8:06,66,1,4,37
193851,4/1/2019 8:09,83,1,55,38
180003,4/1/2019 8:15,70,1,31,39
188535,4/1/2019 8:18,27,1,36,40
183517,4/1/2019 8:23,11,1,61,41
248151,4/1/2019 8:24,6,1,87,42
248152,4/1/2019 8:24,15,1,35,43
192696,4/1/2019 8:32,7,1,31,44
180711,4/1/2019 8:37,29,1,32,45
191947,4/1/2019 8:38,73,1,61,46
187228,4/1/2019 8:38,69,1,74,47
177130,4/1/2019 8:43,98,1,52,48
191334,4/1/2019 8:46,44,1,60,49
181218,4/1/2019 8:51,89,1,95,50
177712,4/1/2019 8:53,30,1,61,51
186564,4/1/2019 9:00,30,1,26,52
183983,4/1/2019 9:00,33,1,26,53
183201,4/1/2019 9:01,101,1,72,54
184738,4/1/2019 9:01,55,3,91,55
186090,4/1/2019 9:04,51,1,28,56
181217,4/1/2019 9:10,78,1,76,57
